System,Direction,Frequency,Significance
3HP,-1,1,*
3HP,1,3,*
3HP,1,1,**
AVAST II,-1,2,*
AVAST II,1,1,*
AVAST II,-1,1,**
AVAST IV,-1,2,*
AVAST IV,1,2,*
AVAST IV,-1,1,**
AbiD,-1,6,*
AbiD,-1,2,**
AbiD,1,1,**
AbiE,1,10,*
AbiE,-1,5,**
AbiE,1,12,**
AbiE,-1,7,*
AbiH,-1,1,**
AbiH,1,1,**
AbiH,1,1,*
AbiH,-1,2,*
AbiL,-1,3,*
AbiL,1,3,*
AbiQ,-1,1,**
AbiQ,1,2,*
AbiQ,-1,2,*
AbiQ,1,4,**
AbiU,-1,2,*
AbiU,1,6,*
BREX I,-1,3,*
BREX I,1,2,*
BREX I,-1,4,**
BREX I,1,3,**
BstA,1,4,*
BstA,-1,4,*
BstA,1,2,**
CBASS I,1,6,**
CBASS I,1,7,*
CBASS I,-1,4,**
CBASS I,-1,6,*
CBASS II,1,3,**
CBASS II,-1,2,*
CRISPR I-E,1,7,*
CRISPR I-E,-1,4,*
CRISPR I-E,-1,11,**
CRISPR I-E,1,19,**
CRISPR I-F,1,6,*
CRISPR I-F,1,1,**
CRISPR I-F,-1,1,*
DRT I,-1,2,*
DRT I,1,1,*
DRT I,-1,3,**
DRT I,1,1,**
DRT II,1,1,*
DRT II,-1,2,*
DRT III,-1,4,*
DRT III,1,4,**
DRT III,-1,1,**
DRT III,1,3,*
Dnd_ABCDE,1,6,*
Dnd_ABCDE,-1,2,**
Dnd_ABCDE,1,3,**
Dnd_ABCDE,-1,7,*
Dnd_FGH,1,4,**
Dnd_FGH,-1,3,**
Dnd_FGH,-1,3,*
Dnd_FGH,1,5,*
Dpd,1,1,*
Dpd,-1,9,**
Dpd,1,7,**
Dpd,-1,1,*
DprA-PRTase,1,1,*
DprA-PRTase,1,4,**
Druantia I,-1,3,*
Druantia I,1,1,*
Druantia III,1,8,**
Druantia III,-1,6,**
Druantia III,-1,6,*
Druantia III,1,1,*
GAO_19,1,3,**
GAO_19,1,3,*
GAO_19,-1,2,*
GAO_29,1,1,*
GAO_29,1,2,**
GAO_29,-1,2,*
Gabija,-1,2,*
Gabija,1,7,*
Gabija,1,4,**
Gabija,-1,2,**
Hachiman I,-1,6,*
Hachiman I,-1,3,**
Hachiman I,1,1,**
Hachiman I,1,1,*
Helicase-DUF2290,1,2,**
Helicase-DUF2290,1,3,*
Kiwa,1,6,*
Kiwa,-1,1,*
Kiwa,1,1,**
Lamassu I,1,1,*
Lamassu I,1,1,**
Lit,-1,1,**
Lit,1,3,**
Mokosh II,-1,9,*
Mokosh II,1,4,*
Mokosh II,-1,3,**
Mokosh II,1,9,**
PARIS,1,2,*
PARIS,-1,3,*
PARIS,1,3,**
PifA,1,5,*
PifA,-1,1,*
PifA,1,2,**
PrrC,1,2,**
PrrC,1,4,*
PsyrTA,-1,13,*
PsyrTA,1,6,*
PsyrTA,1,9,**
PsyrTA,-1,10,**
Pycsar,1,2,*
RM I,-1,9,**
RM I,1,2,*
RM I,-1,3,*
RM I,1,14,**
RM II,-1,3,*
RM II,1,3,*
RM II,1,6,**
RM II,-1,3,**
RM IIG,-1,5,*
RM IIG,1,3,*
RM IIG,-1,3,**
RM IIG,1,3,**
RM III,1,1,*
RM III,-1,4,*
RM III,-1,5,**
RM III,1,4,**
RM IV,-1,6,*
RM IV,1,4,*
RM IV,-1,11,**
RM IV,1,12,**
Retron I-A,1,2,*
Retron I-A,1,1,**
Retron I-B,1,2,*
Retron I-B,-1,1,*
Retron I-C,1,5,**
Retron I-C,-1,3,**
Retron I-C,1,2,*
Retron I-C,-1,9,*
Retron II-A,1,3,*
Retron II-A,-1,2,*
Retron IV,1,1,**
Retron IV,1,1,*
Retron IV,-1,2,*
Retron V,1,1,*
Retron V,1,4,**
Retron XII,1,2,**
Retron XII,-1,3,*
Retron XII,1,6,*
RexAB,1,3,**
RexAB,-1,1,**
RexAB,1,2,*
RexAB,-1,1,*
Septu I,-1,8,*
Septu I,1,6,*
Septu I,-1,3,**
Septu I,1,6,**
Shedu,1,3,**
SoFic,-1,2,**
SoFic,1,3,**
SoFic,-1,1,*
SoFic,1,2,*
SspABCD,1,1,*
Thoeris I,-1,4,*
Thoeris I,-1,2,**
Thoeris I,1,2,**
Thoeris I,1,5,*
Zorya I,1,5,*
Zorya I,-1,1,*
Zorya I,-1,2,**
Zorya I,1,2,**
Zorya II,1,3,**
Zorya II,-1,5,**
Zorya II,-1,2,*
Zorya II,1,3,*
cas_adaptation,1,2,**
cas_adaptation,-1,1,**
cas_adaptation,1,1,*
cas_adaptation,-1,6,*
dCTPdeaminase,1,5,**
dCTPdeaminase,1,1,*
dCTPdeaminase,-1,2,*
dXTPase,-1,3,*
dXTPase,1,6,*
dXTPase,1,2,**
dXTPase,-1,1,**
darTG,1,2,**
darTG,1,3,*
dsr I,1,1,**
gop_beta_cll,1,1,*
gop_beta_cll,-1,4,*
hhe,-1,1,*
hhe,1,7,**
hhe,-1,2,**
hhe,1,3,*
ietAS,1,3,**
ietAS,-1,4,**
ietAS,1,4,*
mza,1,4,**
mza,-1,3,*
old,1,1,*
old,1,3,**
ppl,1,4,**
ppl,1,5,*
qatABCD,1,1,**
qatABCD,-1,1,*
tmn,1,2,**
tmn,1,4,*
tmn,-1,1,*
3HP,1,0,**
AVAST II,1,0,**
AVAST IV,1,0,**
AbiD,1,0,*
BstA,-1,0,**
CBASS II,-1,0,*
CBASS II,-1,0,**
CRISPR I-F,-1,0,**
DprA-PRTase,-1,0,*
DprA-PRTase,-1,0,**
GAO_19,-1,0,**
GAO_29,-1,0,**
Helicase-DUF2290,-1,0,*
Helicase-DUF2290,-1,0,**
Kiwa,-1,0,**
Lamassu I,-1,0,*
Lamassu I,-1,0,**
PARIS,-1,0,**
PifA,-1,0,**
PrrC,-1,0,*
PrrC,-1,0,**
Pycsar,-1,0,*
Retron I-A,-1,0,*
Retron I-A,-1,0,**
Retron IV,-1,0,**
Retron V,-1,0,*
Retron V,-1,0,**
Retron XII,-1,0,**
Shedu,-1,0,**
SspABCD,-1,0,*
dCTPdeaminase,-1,0,**
darTG,-1,0,*
darTG,-1,0,**
dsr I,-1,0,**
ietAS,-1,0,*
mza,-1,0,*
mza,-1,0,**
old,-1,0,*
old,-1,0,**
ppl,-1,0,*
ppl,-1,0,**
qatABCD,-1,0,*
qatABCD,-1,0,**
tmn,-1,0,**